"SRA_Run","Gene_Name","HIGH","LOW","MODERATE","MODIFIER"
"SRR11445484","aat",0,1,3,0
"SRR11445484","accA",0,4,0,0
"SRR11445484","accC",0,9,0,0
"SRR11445484","accD",0,11,0,0
"SRR11445484","accD-trpF",0,0,0,2
"SRR11445484","aceA",0,1,1,0
"SRR11445484","aceE",0,9,1,0
"SRR11445484","aceF",0,8,1,0
"SRR11445484","aceF-PA5017",0,0,0,5
"SRR11445484","aceK",0,9,3,0
"SRR11445484","aceK-PA1377",0,0,0,2
"SRR11445484","ackA",0,1,1,0
"SRR11445484","acnA",0,16,2,0
"SRR11445484","acnB",0,8,0,0
"SRR11445484","acnB-PA1788",0,0,0,1
"SRR11445484","acoB",0,2,0,0
"SRR11445484","acoR",0,5,2,0
"SRR11445484","acsA",0,9,0,0
"SRR11445484","acsA-PA0887.1",0,0,0,2
"SRR11445484","acsB",0,12,1,0
"SRR11445484","acsB-PA4734",0,0,0,3
"SRR11445484","ada",0,10,4,0
"SRR11445484","ada-PA2118a",0,0,0,2
"SRR11445484","adhA",0,9,2,0
"SRR11445484","adhC",0,16,1,0
"SRR11445484","aer",0,12,0,0
"SRR11445484","aer-acnA",0,0,0,15
"SRR11445484","aer2",0,12,2,0
"SRR11445484","aguA",0,7,3,0
"SRR11445484","aguB",0,7,0,0
"SRR11445484","aguB-aguR",0,0,0,2
"SRR11445484","aguR",0,5,4,0
"SRR11445484","ahpC",0,5,0,0
"SRR11445484","ahpC-ahpF",0,0,0,1
"SRR11445484","ahpF",0,4,2,0
"SRR11445484","ahpF-PA0141",0,0,0,1
"SRR11445484","alaS",0,17,1,0
"SRR11445484","alc",0,8,3,0
"SRR11445484","alc-PA1516",0,0,0,1
"SRR11445484","alg44",0,5,0,0
"SRR11445484","alg8",0,4,0,0
"SRR11445484","algA",0,6,1,0
"SRR11445484","algA-arnB",0,0,0,5
"SRR11445484","algB",0,5,1,0
"SRR11445484","algC",0,18,5,0
"SRR11445484","algD",0,1,0,0
"SRR11445484","algE",0,8,0,0
"SRR11445484","algF",0,4,0,0
"SRR11445484","algF-algA",0,0,0,1
"SRR11445484","algG",0,8,3,0
"SRR11445484","algI",0,3,3,0
"SRR11445484","algJ",0,5,0,0
"SRR11445484","algK",0,3,1,0
"SRR11445484","algL",0,5,0,0
"SRR11445484","algL-algI",0,0,0,1
"SRR11445484","algP",0,7,6,0
"SRR11445484","algP-PA5254",0,0,0,1
"SRR11445484","algQ",0,4,0,0
"SRR11445484","algQ-dsbH",0,0,0,4
"SRR11445484","algR",0,4,0,0
"SRR11445484","algU",0,4,0,0
"SRR11445484","algW",0,12,1,0
"SRR11445484","algW-hisC1",0,0,0,1
"SRR11445484","algX",0,6,2,0
