accession,Species,Strain,Shape,Endospores,OxygenReq,OptimumTemperature,TemperatureRange,Description
PRJNA1154289,Thermococcus kodakarensis,,,,,,,"A novel N4,N4-dimethylcytidine in the Archaeal ribosome enhances hyperthermophily"
PRJEB76672,,,,,,,,16S rRNA gene amplicon sequencing and whole metagenomic shotgun sequencing of marine sediment microbiomes in East Siberian Sea
PRJDB17708,Sulfurisphaera javensis,KD-1,,,,,,Genome sequencing was carried out to obtain a complete circular genome of Sulfurisphaera javensis strain KD-1 isolated from an acidic hot spring.
PRJEB64517,,,,,,,,"XCR1+ dendritic cells play an important role in limiting the immune response to members of the gut microbiota, preventing inflammation and maintaining gut homeostasis. Mice lacking XCR1+ cDCs have a proinflammatory gut environment and are prone to opportunistic infections by commensals. As chickens contain greater numbers of these cells in their guts than mammals, it is expected that they would also play a role in controlling gut inflammation. In this study the gut microbiota of wild-type (HET) and XCR1 knockout (HOM) chickens was characterised, with and without infectious bronchitis virus vaccination. DNA was extracted from caecal contents, sequenced via Illumina and Pacbio Hifi sequencing, and used to construct metagenome assembled genomes."
PRJDB9712,Methanococcus maripaludis,Mic1c10,eCocci,eNo,eAnaerobic,30,eMesophilic,The goal of this project is to understand the mechanisms of iron corrosion by the hydrogenotrophic methanogen Methanococcus maripaludis.
PRJNA1044399,Methanothermobacter marburgensis,Clermont,,,,,,"De novo genome assembly of the methanogenic archaea Methanothermobacter marburgensis, Clermont strain"
PRJNA1033202,Methanoculleus receptaculi,DSM 18860,,,,,,Whole genome shotgun sequencing of type strains of methanogens to establish the base for species delineation
PRJNA1033200,Methanoculleus palmolei,DSM 4273,,,,,,Whole genome shotgun sequencing of type strains of methanogens to establish the base for species delineation
PRJNA996631,Thermococcus kodakarensis,RLV2,,,,,,"WGS mapped reads verifying the successful deletion of Transcription Factor S (TFS) at the 0533 locus in the T. kodakarensis genome, absent of secondary mutations."
PRJNA983580,Halobacterium salinarum,KBTZ01,,,,,,"Current submission represent a Halobacterium genus strain that was isolated from Lake Kobeituz in 2021, Kazakhstan. The project goal was studying the biology of halophilic archaea and investigation of their potential in biotechnological implementation as well as using it as a modeling organism for carrying out studies of archaeal biology."
PRJNA956236,Methanothrix sp.,,,,,,,Effects of biochar supported nano zero-valent iron with different carbon/iron ratios on two-phase anaerobic digestion of food waste
PRJNA937785,Methanosphaera sp. ISO3-F5,ISO3-F5,,,,,,Methanosphaera sp. ISO3-F5 is a methylotrophic methanogen belonging to the order Methanobacteriales that was isolated from a sheep rumen. Its genome has been sequenced to provide information on the genetic diversity of rumen methanogens in order to develop technologies for ruminant methane mitigation.
PRJNA924106,Methanosarcina acetivorans,,,,,,,Methylotrophic M. acetivorans (WWM73) was adapted to pyruvate (WWM73A) and subsequently to pyruvate plus bromoethane sulfonate (WWM73S).
PRJNA905568,Methanogenium organophilum,DSM 3596,,,,,,Complete genome sequence of Methanogenium organophilum DSM 3596
PRJNA891094,Methanoculleus submarinus,DSM 15122,,,,,,Genome sequencing and comparative genomics for all methanogens
PRJDB14343,Vulcanisaeta souniana,IC-059,,,eAnaerobic,85,eHyperthermophilic,"The goal of this study is to determine the complete genome sequence of the hyperthermophilic archaeon, Vulcanisaeta souniana IC-059."
PRJDB14188,Nitrosopumilus zosterae,NM25,,,,,,We determined the complete genome of Nitrosopumilus zosterae strain NM25 to investigate the gene expression.
PRJNA862363,Methanosarcina acetivorans C2A,C2A,,,,,,Methanosarcina acetivorans transcriptome
PRJNA859665,Methanosarcina acetivorans C2A,C2A,,,,,,methanosarcina acetivorans transcriptome
PRJNA859536,Methanosarcina acetivorans,,,,,,,methanosarcina acetivorans
PRJNA822675,Halococcus dombrowskii,H4,,,,,,Sequencing and assembly of Halococcus dombrowskii ATCC BAA-364 using ONT Nanopore long-read platform.
PRJDB13305,Methanothermobacter tenebrarum,RMAS,eBacilli,eNo,eAnaerobic,70,eThermophilic,"Complete Genome Sequence of the Themophilic Hydrogen-oxidizing Methanogen, Methanothermobacter tenebrarum Strain RMAS was determined."
PRJNA801442,Methanoplanus endosymbiosus,DSM 3599,,,,,,Exploring the diversity of methanogens from various environments
PRJNA798152,Methanomicrobium antiquum,DSM 21220 (MobH),,,,,,Genome sequencing of Methanomicrobium antiquum DSM 21220
PRJNA797174,Methanogenium sp. S4BF,S4BF,,,,,,Genome sequencing of Methannogenium sp. S4BF
PRJDB12511,Acidianus sp. HS-5,HS-5,eCocci,,eAerobic,65,eThermophilic,Genome sequencing was performed to obtain complete genome sequence of strain HS-5 isolated from acidic hot spring in Japan.
PRJDB12504,Saccharolobus caldissimus,JCM32116,eCocci,,eAerobic,85,eHyperthermophilic,"To determine complete genome sequence of Saccharolobus caldissimus, Illumina and Nanopore sequencing were conducted."
PRJDB8766,Methanothermobacter sp. CaT2,,,,,,,"Methanothermobacter sp CaT2 is an aggregating, hydrogenotrophic and thermophilic methanogen. We obtained several mutants that show low or high aggregation compared with the parental strain, CaT2."
PRJNA755511,Methanobrevibacter sp. TLL-48-HuF1,TLL-48-HuF1,,,,,,Isolated several commensal microbes from fecal sample of a 71-year-old South East Asian (sample ID TLL-48 or SPMP48).
PRJNA739174,Methanospirillum hungatei,GP1,,,,,,Complete genome sequence of Methanospirillum hungatei strain GP1 (DSM 1101).
PRJDB11495,Sulfolobales archaeon HS-7,HS-7,eCocci,,eAerobic,65,eThermophilic,Genome sequencing was performed to obtain complete genome sequence of strain HS-7 isolated from acidic hot spring in Japan.
