Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,ANI Check status,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Contig N50,Assembly Stats Scaffold N50,Assembly Stats Number of Scaffolds,Annotation BUSCO Complete ,Annotation BUSCO Single Copy ,Annotation BUSCO Duplicated ,Annotation BUSCO Fragmented ,Annotation BUSCO Missing ,Annotation BUSCO Lineage ,Assembly Sequencing Tech,Assembly Submitter,Assembly BioProject Accession,Assembly BioSample Accession,Annotation Count Gene Total,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Type Material Display Text,CheckM marker set,CheckM completeness,CheckM contamination
GCF_000025685.1,ASM2568v1,Haloferax volcanii DS2,309800,OK,,DS2,,,,,GCF_000025685.1-RS_2024_10_21,4012900,5,Complete Genome,3/23/2010,,2847757,2847757,5,,,,,,,,TIGR,PRJNA12524,SAMN02604027,4070,3890,119,assembly from type material,Haloferax volcanii,99.12,1.11
GCF_004799605.1,ASM479960v1,Halobacterium salinarum,2242,OK,,91-R6,,,,,GCF_004799605.1-RS_2024_10_23,2429680,3,Complete Genome,4/18/2019,,2178608,2178608,3,,,,,,,PacBio RS,Max-Planck-Institute of Biochemistry,PRJNA530823,SAMN11158145,2592,2476,63,assembly from type material,Halobacterium,96.7,1.12
GCF_000012285.1,ASM1228v1,Sulfolobus acidocaldarius DSM 639,330779,OK,,DSM 639,,,,,GCF_000012285.1-RS_2024_03_29,2225959,1,Complete Genome,7/5/2005,,2225959,2225959,1,,,,,,,,Danish Archaea Centre,PRJNA13935,SAMN02603173,2373,2293,29,assembly from type material,Sulfolobus acidocaldarius,97.22,2.17
GCF_002945325.1,ASM294532v1,Methanococcus maripaludis,39152,Inconclusive,,DSM 2067,,,,,GCF_002945325.1-RS_2024_10_22,1714918,1,Complete Genome,2/12/2018,,1714918,1714918,1,,,,,,,Illumina; Nanopore,Goettingen Genomics Laboratory,PRJNA432904,SAMN08466362,1874,1815,9,assembly from type material,Methanococcus maripaludis,90.67,0.46
GCF_000007345.1,ASM734v1,Methanosarcina acetivorans C2A,188937,OK,,C2A,,,,,GCF_000007345.1-RS_2024_10_21,5751492,1,Complete Genome,4/3/2002,,5751492,5751492,1,,,,,,,,Broad Institute,PRJNA290,SAMN03081414,4933,4702,163,assembly from type material,Methanosarcina,98.41,1.09
GCF_000016525.1,ASM1652v1,Methanobrevibacter smithii ATCC 35061,420247,OK,,ATCC 35061; PS; DSMZ 861,,,,,GCF_000016525.1-RS_2024_10_21,1853160,1,Complete Genome,6/4/2007,,1853160,1853160,1,,,,,,,,Washington University Center for Genome Sciences,PRJNA18653,SAMN02604313,1815,1747,23,assembly from type material,Methanobrevibacter smithii,97.71,2.51
GCF_000970205.1,ASM97020v1,Methanosarcina mazei S-6,213585,OK,,S-6,,,,,GCF_000970205.1-RS_2024_10_21,4142816,1,Complete Genome,4/7/2015,,4142816,4142816,1,,,,,,,ABI 3730; 454 GS-FLX Titanium; Illumina GAIIx; Illumina MiSeq,University of Illinois at Urbana-Champaign,PRJNA230947,SAMN03074583,3588,3434,86,assembly from type material,Methanosarcina,98.22,0.84
GCF_000009965.1,ASM996v1,Thermococcus kodakarensis KOD1,69014,OK,,KOD1,,,,,GCF_000009965.1-RS_2024_10_21,2088737,1,Complete Genome,1/5/2005,,2088737,2088737,1,,,,,,,,"Kyoto University, Japan",PRJNA13213,SAMD00061071,2359,2290,16,assembly from type material,Thermococcus,99.32,0.35
GCF_008245085.1,ASM824508v1,Pyrococcus furiosus DSM 3638,186497,OK,,DSM 3638,,,,,GCF_008245085.1-RS_2024_10_23,1889914,1,Complete Genome,9/3/2019,,1889914,1889914,1,,,,,,,Illumina HiSeq; PacBio,University Regensburg,PRJNA382684,SAMN06711904,2123,2015,40,assembly from type material,Pyrococcus furiosus,95.82,1.75
GCF_000223905.1,ASM22390v1,Haloarcula hispanica ATCC 33960,634497,OK,,CGMCC 1.2049,,,,,GCF_000223905.1-RS_2024_10_21,3890005,3,Complete Genome,8/17/2011,,2995271,2995271,3,,,,,,,," Institute of Microbiology, Chinese Academy of Sciences",PRJNA68523,SAMN02602960,3937,3817,60,assembly from type material,Haloarcula,99.48,0.4
